"Year" & "Author" & "Publications" & "New Authors" & "Single Author" & "Ratio" & "New Author Percentage"
1965 & 1 & 1 & 1 & NA & 1 & 100
1966 & 1 & 1 & 1 & NA & 1 & 100
1967 & 1 & 1 & 1 & NA & 1 & 100
1971 & 3 & 1 & 3 & 2 & 3 & 100
1973 & 22 & 10 & 21 & 14 & 2.2 & 95.5
1974 & 14 & 7 & 9 & 4 & 2 & 64.3
1975 & 10 & 5 & 7 & 2 & 2 & 70
1976 & 17 & 6 & 11 & 9 & 2.8 & 64.7
1977 & 20 & 9 & 16 & 12 & 2.2 & 80
1978 & 15 & 6 & 10 & 8 & 2.5 & 66.7
1979 & 23 & 10 & 14 & 7 & 2.3 & 60.9
1980 & 17 & 9 & 10 & 6 & 1.9 & 58.8
1981 & 21 & 7 & 17 & 16 & 3 & 81
1982 & 18 & 8 & 13 & 9 & 2.2 & 72.2
1983 & 3 & 2 & 1 & 1 & 1.5 & 33.3
1984 & 10 & 5 & 6 & 6 & 2 & 60
1985 & 13 & 8 & 11 & 7 & 1.6 & 84.6
1986 & 8 & 4 & 8 & 5 & 2 & 100
1987 & 26 & 12 & 16 & 12 & 2.2 & 61.5
1988 & 14 & 4 & 9 & 7 & 3.5 & 64.3
1989 & 16 & 6 & 11 & 7 & 2.7 & 68.8
1990 & 31 & 13 & 22 & 18 & 2.4 & 71
1991 & 32 & 14 & 22 & 19 & 2.3 & 68.8
1992 & 23 & 10 & 11 & 8 & 2.3 & 47.8
1993 & 11 & 5 & 9 & 6 & 2.2 & 81.8
1994 & 16 & 7 & 13 & 9 & 2.3 & 81.2
1995 & 16 & 8 & 12 & 11 & 2 & 75
1996 & 24 & 12 & 18 & 12 & 2 & 75
1997 & 29 & 11 & 17 & 15 & 2.6 & 58.6
1998 & 38 & 12 & 25 & 18 & 3.2 & 65.8
1999 & 53 & 14 & 43 & 22 & 3.8 & 81.1
2000 & 53 & 23 & 29 & 17 & 2.3 & 54.7
2001 & 66 & 19 & 33 & 25 & 3.5 & 50
2002 & 54 & 13 & 43 & 36 & 4.2 & 79.6
2003 & 72 & 20 & 42 & 21 & 3.6 & 58.3
2004 & 58 & 14 & 36 & 24 & 4.1 & 62.1
2005 & 55 & 15 & 44 & 36 & 3.7 & 80
2006 & 72 & 19 & 47 & 33 & 3.8 & 65.3
2007 & 84 & 20 & 52 & 39 & 4.2 & 61.9
2008 & 41 & 12 & 21 & 17 & 3.4 & 51.2
2009 & 44 & 17 & 35 & 24 & 2.6 & 79.5
2010 & 75 & 20 & 59 & 43 & 3.8 & 78.7
2011 & 119 & 27 & 74 & 51 & 4.4 & 62.2
2012 & 187 & 45 & 127 & 73 & 4.2 & 67.9
2013 & 177 & 38 & 96 & 81 & 4.7 & 54.2
2014 & 139 & 37 & 80 & 62 & 3.8 & 57.6
2015 & 143 & 31 & 74 & 57 & 4.6 & 51.7
2016 & 178 & 41 & 89 & 76 & 4.3 & 50
2017 & 179 & 47 & 107 & 91 & 3.8 & 59.8
2018 & 194 & 45 & 113 & 110 & 4.3 & 58.2
